"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","modecd","mode_name","typeofservicecd","mode_voms","form_type","guideway","guideway_questionable","stations","stations_questionable","administrative_buildings","administrative_buildings_1","maintenance_buildings","maintenance_buildings_1","passenger_vehicles","passenger_vehicles_1","other_vehicles","other_vehicles_questionable","fare_collection_equipment","fare_collection_equipment_1","communication_information","communication_information_1","other","other_questionable","reduced_reporter","reduced_reporter_questionable","total","total_questionable"
"City of Long Beach","Long Beach","NY","20006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","7","MB","Bus","DO","5","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","10133","CB","Commuter Bus","DO","445","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","10133","CB","Commuter Bus","DO","445","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"640656",,"0",,"0",,"15173",,"120380",,"0",,"776209",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","10133","DR","Demand Response","PT","881","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"94752",,"0",,"23642100",,"0",,"0",,"0",,"0",,"0",,"23736852",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","10133","DR","Demand Response","PT","881","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","10133","HR","Heavy Rail","DO","5415","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","1160668880",,"1291609568",,"57387219",,"181353788",,"577549343",,"54570469",,"55638211",,"568758338",,"124382091",,"0",,"4071917907",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","10133","HR","Heavy Rail","DO","5415","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"46125703",,"0",,"46125703",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","10133","MB","Bus","DO","3264","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"161312364",,"119197142",,"0",,"0",,"167000",,"1324931",,"0",,"282001437",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","10133","MB","Bus","DO","3264","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","10133","RB","Bus Rapid Transit","DO","128","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"356753",,"0",,"0",,"0",,"6081",,"48242",,"0",,"411076",
